year,start station name,start station latitude,start station longitude,avg trip duration,total trips
2018,5 Corners Library,40.73496102000952,-74.05950307846071,1070.6935975609756,656
2018,Astor Place,40.71928220070703,-74.07126188278198,646.2718446601941,927
2018,Baldwin at Montgomery,40.7236589,-74.0641943,634.8426073131956,1258
2018,Bayside Park,40.698650544,-74.082079678,2121.7727272727275,22
2018,Bergen Ave,40.72210378668603,-74.07145500183104,630.7134986225896,726
2018,Bethune Center,40.70495751672861,-74.08593088388444,1389.357142857143,14
2018,Brunswick & 6th,40.726011729646245,-74.0503889322281,415.62982390408393,2669
2018,Brunswick St,40.7241765,-74.05065640000001,520.0289256198347,2420
2018,Christ Hospital,40.734785818,-74.050443636,1058.2689486552567,818
2018,City Hall,40.717732500000004,-74.04384499999999,602.9547339322737,2894
2018,Columbia Park,40.6970299,-74.09693659999999,1883.5,6
2018,Columbus Drive,40.71835519823214,-74.03891444206238,507.3832335329341,2338
2018,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,1010.6932515337423,489
2018,Danforth Light Rail,40.69263996618329,-74.08801227807997,13363.714285714286,7
2018,Dey St,40.737711,-74.066921,820.0641330166271,421
2018,Dixon Mills,40.72163014263835,-74.04996782541275,355.4010666666667,1875
2018,Essex Light Rail,40.712774200000005,-74.03648570000001,662.9587822014051,2135
2018,Exchange Place,40.7162469,-74.0334588,737.1770558060003,6433
2018,Fairmount Ave,40.72572613742557,-74.07195925712584,853.9456662354463,773
2018,Garfield Ave Station,40.7104670233797,-74.07003879547119,1608.2857142857142,77
2018,Glenwood Ave,40.72755146730012,-74.07106071710588,670.8333333333334,384
2018,Grand St,40.71517767732029,-74.03768330812454,728.1880341880342,1287
2018,Grove St PATH,40.71958611647166,-74.0431174635887,505.8158989707278,13699
2018,Hamilton Park,40.727595965999996,-74.044247311,499.43321819228555,6948
2018,Harborside,40.71925170000001,-74.034234,553.6117886178862,3936
2018,Heights Elevator,40.748715945380226,-74.04044330120088,1873.5966921119593,786
2018,Hilltop,40.7311689,-74.0575736,836.9486434108527,1032
2018,JC Medical Center,40.71653978099194,-74.0496379137039,857.7852582704585,1723
2018,JCBS Depot,40.70965083364061,-74.0686011314392,154.2,5
2018,Jackson Square,40.71113,-74.0789,1133.112676056338,142
2018,Jersey & 3rd,40.723331586464354,-74.04595255851744,420.80007487832273,2671
2018,Jersey & 6th St,40.72528910781132,-74.04557168483734,590.9944237918215,2690
2018,Journal Square,40.733670000000004,-74.0625,811.0601779173207,1911
2018,Lafayette Park,40.71346382669195,-74.06285852193831,951.4870967741936,620
2018,Leonard Gordon Park,40.74590996631558,-74.05727148056029,744.75,892
2018,Liberty Light Rail,40.711242299999995,-74.0557013,1514.199068684517,2577
2018,Lincoln Park,40.7246050998869,-74.07840594649316,1387.1513513513514,925
2018,MLK Light Rail,40.711130499999996,-74.0788855,1840.2222222222222,18
2018,Manila & 1st,40.72165072487999,-74.04288411140442,444.4960282436011,2266
2018,Marin Light Rail,40.71458403535893,-74.04281705617905,611.2578616352201,3339
2018,McGinley Square,40.7253399253558,-74.06762212514876,520.0697091273821,1994
2018,Monmouth and 6th,40.72568548362901,-74.0487903356552,367.71202854230376,1962
2018,Montgomery St,40.71942,-74.05099,638.2754716981132,795
2018,Morris Canal,40.7124188237569,-74.03852552175522,528.0734323432343,3636
2018,NJCU,40.710108700000006,-74.0858489,781.45,20
2018,Newark Ave,40.72152515,-74.046304543,506.81650793650795,3150
2018,Newport PATH,40.7272235,-74.03375890000001,646.9113573407202,5054
2018,Newport Pkwy,40.728744799999994,-74.03210820000001,918.251611013474,3414
2018,Oakland Ave,40.7376037,-74.05247829999999,579.3246311010216,1762
2018,Paulus Hook,40.7141454,-74.0335519,731.1668362156663,2949
2018,Pershing Field,40.742677141,-74.051788633,758.406862745098,1428
2018,Riverview Park,40.7443187,-74.04399090000001,1125.3085714285714,700
2018,Sip Ave,40.730742625306576,-74.06378388404845,617.5266813484669,5903
2018,Union St,40.71821129999999,-74.08363940000001,938.0113636363636,352
2018,Van Vorst Park,40.71848892,-74.047726625,845.7264573991031,3122
2018,Warren St,40.721123600000006,-74.03805095,479.17025440313114,3066
2018,Washington St,40.7242941,-74.0354826,727.5495867768595,2420
2018,West Side Light Rail,40.714402,-74.0887723,1083.72,25
2018,York St,40.71649,-74.04105,508.04584775086505,1156
2019,1 Ave & E 110 St,40.7923272,-73.9383,785.5840083073728,4815
2019,1 Ave & E 16 St,40.73221853,-73.98165557,752.4347641007449,28190
2019,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,714.4953626867128,20486
2019,1 Ave & E 30 St,40.74144387,-73.97536082,757.1027525387493,14968
2019,1 Ave & E 44 St,40.75001986,-73.96905301,980.1007634741856,13229
2019,1 Ave & E 62 St,40.761227399999996,-73.96094022,909.4595674081356,16274
2019,1 Ave & E 68 St,40.76500525,-73.95818491,909.1278747203579,22350
2019,1 Ave & E 78 St,40.77140426,-73.9535166,813.1311942742767,16487
2019,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,1081.3996121981315,5673
2019,1 Pl & Clinton St,40.6809591,-73.99905709,694.4003345413995,3587
2019,10 Ave & W 28 St,40.75066386,-74.00176802,841.7915165522398,14711
2019,10 Hudson Yards,40.752957,-74.00264,832.0792891319207,1463
2019,10 St & 2 Ave,40.671907,-73.993612,804.2681258549932,731
2019,10 St & 5 Ave,40.6686273,-73.98700053,1285.1250517598344,2415
2019,10 St & 7 Ave,40.666207799999995,-73.98199886,746.579373650108,3704
