year,end station name,end station latitude,end station longitude,avg trip duration,total trips
2018,11 Ave & W 41 St,40.76030096,-73.99884222,11860.5,2
2018,12 Ave & W 40 St,40.76087502,-74.00277668,3022.4,5
2018,5 Corners Library,40.73496102000952,-74.05950307846071,883.115107913669,556
2018,Astor Place,40.71928220070703,-74.07126188278198,706.3945435466946,953
2018,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,1596.6,5
2018,Baldwin at Montgomery,40.7236589,-74.0641943,581.0226449275362,1104
2018,Bayside Park,40.698650544,-74.082079678,1766.0,23
2018,Bergen Ave,40.72210378668603,-74.07145500183104,547.8363338788871,611
2018,Bethune Center,40.70495751672861,-74.08593088388444,1259.5833333333333,12
2018,Broadway & Battery Pl,40.70463334,-74.01361706,1452.0,3
2018,Broadway & Moylan Pl,40.8143256,-73.9590255,7096.0,1
2018,Broadway & W 29 St,40.7462009,-73.98855723,2314.5,2
2018,Broadway & W 32 St,40.74854862,-73.98808416,2600.0,1
2018,Brunswick & 6th,40.726011729646245,-74.0503889322281,686.5381476948185,2451
2018,Brunswick St,40.7241765,-74.05065640000001,468.1176979662484,2311
2018,Bus Slip & State St,40.701907,-74.013942,1092.0,1
2018,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,16983.5,2
2018,Christ Hospital,40.734785818,-74.050443636,1070.0359168241966,529
2018,City Hall,40.717732500000004,-74.04384499999999,606.5848932676519,3045
2018,Columbia Park,40.6970299,-74.09693659999999,1216.1,10
2018,Columbus Drive,40.71835519823214,-74.03891444206238,525.9938730853391,2285
2018,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,1197.3373983739837,492
2018,Danforth Light Rail,40.69263996618329,-74.08801227807997,11037.222222222223,9
2018,Dey St,40.737711,-74.066921,602.6531986531986,594
2018,Dixon Mills,40.72163014263835,-74.04996782541275,353.10421412300684,1756
2018,E 32 St & Park Ave,40.745712100000006,-73.98194829,1705.0,1
2018,E 33 St & 5 Ave,40.74765947,-73.98490707,2122.0,1
2018,E 47 St & Park Ave,40.75510267,-73.97498696,2535.0,1
2018,Essex Light Rail,40.712774200000005,-74.03648570000001,690.3253115599484,2327
2018,Exchange Place,40.7162469,-74.0334588,552.0827501534684,8145
2018,Fairmount Ave,40.72572613742557,-74.07195925712584,994.6139705882352,544
2018,Garfield Ave Station,40.7104670233797,-74.07003879547119,13109.247191011236,89
2018,Glenwood Ave,40.72755146730012,-74.07106071710588,1624.9452554744526,274
2018,Grand St,40.71517767732029,-74.03768330812454,697.1979891724671,1293
2018,Grove St PATH,40.71958611647166,-74.0431174635887,377.99235775270165,16749
2018,Hamilton Park,40.727595965999996,-74.044247311,477.1379835516296,6566
2018,Harborside,40.71925170000001,-74.034234,564.8874120406567,3837
2018,Heights Elevator,40.748715945380226,-74.04044330120088,1681.8067885117493,766
2018,Henry St & Atlantic Ave,40.69089272,-73.99612349,1800.0,1
2018,Hilltop,40.7311689,-74.0575736,1047.5754475703325,782
2018,JC Medical Center,40.71653978099194,-74.0496379137039,840.7515598411798,1763
2018,JCBS Depot,40.70965083364061,-74.0686011314392,19898.31746031746,63
2018,Jackson Square,40.71113,-74.0789,2626.4274809160306,131
2018,Jersey & 3rd,40.723331586464354,-74.04595255851744,477.56750102585147,2437
2018,Jersey & 6th St,40.72528910781132,-74.04557168483734,423.6581318160265,2109
2018,John St & William St,40.70862144,-74.00722156,1090.0,1
2018,Journal Square,40.733670000000004,-74.0625,641.0983889528193,1738
2018,Lafayette Park,40.71346382669195,-74.06285852193831,1036.9636098981077,687
2018,Leonard Gordon Park,40.74590996631558,-74.05727148056029,770.5030599755202,817
2018,Liberty Light Rail,40.711242299999995,-74.0557013,1560.9341762737076,2689
2018,Lincoln Park,40.7246050998869,-74.07840594649316,866.4478694469628,1103
2018,MLK Light Rail,40.711130499999996,-74.0788855,834.2307692307693,13
2018,Manila & 1st,40.72165072487999,-74.04288411140442,474.97163730124623,2327
2018,Marin Light Rail,40.71458403535893,-74.04281705617905,684.9528888888889,3375
2018,McGinley Square,40.7253399253558,-74.06762212514876,478.21693121693124,1512
2018,Monmouth and 6th,40.72568548362901,-74.0487903356552,366.2658359293873,1926
2018,Montgomery St,40.71942,-74.05099,568.17217630854,726
2018,Morris Canal,40.7124188237569,-74.03852552175522,629.2998704663213,3088
2018,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,6018.0,1
2018,NJCU,40.710108700000006,-74.0858489,973.5454545454545,22
2018,Newark Ave,40.72152515,-74.046304543,490.00410483107044,3167
2018,Newport PATH,40.7272235,-74.03375890000001,628.2073661998849,5213
2018,Newport Pkwy,40.728744799999994,-74.03210820000001,1058.427901524033,3412
2018,Oakland Ave,40.7376037,-74.05247829999999,943.469774217043,1373
2018,Paulus Hook,40.7141454,-74.0335519,661.9890498057224,2831
2018,Pershing Field,40.742677141,-74.051788633,975.2566371681415,1356
2018,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,2298.0,1
2018,Prospect Pl & 6 Ave,40.6793307,-73.97519523,5396.0,1
2018,Riverview Park,40.7443187,-74.04399090000001,1118.8038528896673,571
2018,Sip Ave,40.730742625306576,-74.06378388404845,589.8409606656581,5288
2018,South End Ave & Liberty St,40.711512,-74.01575600000001,1026.0,1
2018,South St & Whitehall St,40.70122128,-74.01234218,1751.0,1
2018,Union St,40.71821129999999,-74.08363940000001,1672.4625267665954,467
2018,Van Vorst Park,40.71848892,-74.047726625,599.5284132841329,2710
2018,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2140.7894736842104,19
